archetype,decks,wins,date,day_decks
Alakazam,612,279,2026-07-08,10394
Archaludon ex,360,174,2026-07-08,10394
Bloodmoon Ursaluna,226,137,2026-07-08,10394
Chandelure,150,60,2026-07-08,10394
Cornerstone Mask Ogerpon ex,555,277,2026-07-08,10394
Crustle,23,11,2026-07-08,10394
Cynthia's Garchomp ex,726,405,2026-07-08,10394
Dragapult ex,270,129,2026-07-08,10394
Dudunsparce,1345,643,2026-07-08,10394
Fezandipiti ex,1390,686,2026-07-08,10394
Hop’s Snorlax,1,1,2026-07-08,10394
Marnie's Grimmsnarl ex,1733,850,2026-07-08,10394
Mega Froslass ex,48,22,2026-07-08,10394
Mega Kangaskhan ex,1169,616,2026-07-08,10394
Mega Lopunny ex,69,33,2026-07-08,10394
Mega Lucario ex,443,203,2026-07-08,10394
Mega Starmie ex,712,407,2026-07-08,10394
Shaymin,39,21,2026-07-08,10394
Teal Mask Ogerpon ex,180,82,2026-07-08,10394
Team Rocket's Articuno,1,0,2026-07-08,10394
Team Rocket's Mewtwo ex,120,64,2026-07-08,10394
Yveltal,222,97,2026-07-08,10394
