card_id,name,stage,supertype,is_ex,decks,play_rate,win_rate,avg_copies
1182,Boss’s Orders,Supporter,Trainer,False,8724,0.8393303829132192,0.494268684089867,2.6229940394314535
1152,Poké Pad,Item,Trainer,False,8706,0.8375986145853377,0.49425683436710316,3.9645072363886973
1086,Buddy-Buddy Poffin,Item,Trainer,False,8683,0.8353857994997114,0.5000575837844063,3.9138546585281584
1097,Night Stretcher,Item,Trainer,False,7662,0.7371560515682124,0.49034194727225267,2.443487340120073
1227,Lillie's Determination,Supporter,Trainer,False,6785,0.6527804502597653,0.5056742815033162,3.978776713338246
1197,Xerosic’s Machinations,Supporter,Trainer,False,6271,0.6033288435635944,0.5093286557167915,1.739435496730984
1225,Hilda,Supporter,Trainer,False,5827,0.5606118914758514,0.5057490990217951,3.522224129054402
1079,Rare Candy,Item,Trainer,False,5292,0.5091398883971522,0.4824263038548753,3.484315948601663
1231,Dawn,Supporter,Trainer,False,4926,0.473927265730229,0.4857896873731222,3.484774665042631
66,Dudunsparce,Stage 1 Pokémon,Pokémon,False,4351,0.4186068885895709,0.49344978165938863,2.857274189841416
5,Basic {P} Energy,Basic Energy,Energy,False,4309,0.41456609582451415,0.48201438848920863,2.7628220004641446
305,Dunsparce,Basic Pokémon,Pokémon,False,3779,0.36357513950355974,0.5019846520243451,3.4048690129663934
19,Telepath Psychic Energy,Special Energy,Energy,False,3703,0.356263228785838,0.47664056170672425,3.9975695382122605
1159,Hero’s Cape,Pokémon Tool,Trainer,False,3584,0.34481431595151046,0.5234375,1.0
1081,Enhanced Hammer,Item,Trainer,False,3488,0.3355782182028093,0.47706422018348627,3.5450114678899083
1264,Battle Cage,Stadium,Trainer,False,3375,0.32470656147777566,0.4802962962962963,1.5226666666666666
1129,Sacred Ash,Item,Trainer,False,3337,0.3210506061189148,0.4818699430626311,1.1096793527120168
13,Enriching Energy,Special Energy,Energy,False,3314,0.3188377910332884,0.4824984912492456,1.0
741,Abra,Basic Pokémon,Pokémon,False,3288,0.3163363478930152,0.4820559610705596,4.0
743,Alakazam,Stage 2 Pokémon,Pokémon,False,3288,0.3163363478930152,0.4820559610705596,3.859793187347932
742,Kadabra,Stage 1 Pokémon,Pokémon,False,3288,0.3163363478930152,0.4820559610705596,4.0
1184,Lana’s Aid,Supporter,Trainer,False,3280,0.3155666730806234,0.4823170731707317,1.0390243902439025
1121,Ultra Ball,Item,Trainer,False,2851,0.2742928612661151,0.5289372150122764,2.5177130831287267
112,Munkidori,Basic Pokémon,Pokémon,False,2560,0.24629593996536464,0.492578125,3.342578125
1122,Pokégear 3.0,Item,Trainer,False,2542,0.24456417163748317,0.5059008654602675,3.456726986624705
140,Fezandipiti ex,Basic Pokémon,Pokémon,True,2374,0.2284010005772561,0.5164279696714406,1.027379949452401
7,Basic {D} Energy,Basic Energy,Energy,False,2341,0.22522609197614007,0.49893208030756087,8.42545920546775
6,Basic {F} Energy,Basic Energy,Energy,False,2334,0.22455262651529728,0.523993144815767,6.018423307626392
1,Basic {G} Energy,Basic Energy,Energy,False,1798,0.17298441408504905,0.5261401557285873,4.684649610678532
1080,Unfair Stamp,Item,Trainer,False,1772,0.17048297094477582,0.48306997742663654,1.0
646,Marnie's Impidimp,Basic Pokémon,Pokémon,False,1733,0.16673080623436598,0.49047893825735717,4.0
1259,Spikemuth Gym,Stadium,Trainer,False,1733,0.16673080623436598,0.49047893825735717,3.5735718407386035
648,Marnie's Grimmsnarl ex,Stage 2 Pokémon,Pokémon,True,1733,0.16673080623436598,0.49047893825735717,3.3237160992498556
647,Marnie's Morgrem,Stage 1 Pokémon,Pokémon,False,1733,0.16673080623436598,0.49047893825735717,2.6416618580496247
1142,Fighting Gong,Item,Trainer,False,1632,0.15701366172791995,0.5159313725490197,3.974264705882353
1219,Team Rocket's Petrel,Supporter,Trainer,False,1562,0.15027900711949202,0.47183098591549294,3.7682458386683737
1147,Jumbo Ice Cream,Item,Trainer,False,1516,0.14585337694823938,0.5079155672823219,3.845646437994723
3,Basic {W} Energy,Basic Energy,Energy,False,1493,0.14364056186261304,0.550569323509712,5.3965170797052915
343,Shaymin,Basic Pokémon,Pokémon,False,1482,0.14258225899557436,0.47638326585695007,1.00472334682861
1123,Switch,Item,Trainer,False,1405,0.13517413892630364,0.4875444839857651,2.19644128113879
1120,Crushing Hammer,Item,Trainer,False,1380,0.13276890513757938,0.505072463768116,3.2115942028985507
345,Crustle,Stage 1 Pokémon,Pokémon,False,1364,0.13122955551279583,0.5197947214076246,3.4545454545454546
344,Dwebble,Basic Pokémon,Pokémon,False,1364,0.13122955551279583,0.5197947214076246,3.4611436950146626
18,Grow Grass Energy,Special Energy,Energy,False,1349,0.12978641523956128,0.5218680504077094,3.507783543365456
1161,Handheld Fan,Pokémon Tool,Trainer,False,1309,0.12593804117760246,0.4789915966386555,1.656226126814362
1229,Wally's Compassion,Supporter,Trainer,False,1268,0.12199345776409468,0.5244479495268138,3.321766561514196
756,Mega Kangaskhan ex,Basic Pokémon,Pokémon,True,1169,0.11246873196074658,0.5269461077844312,3.9366980325064156
