episode_id,agent,player,won,n_steps,archetype
84743025,koga_poke,0,0,101,Yveltal
84743025,Majkel1337,1,1,101,Dudunsparce
84743031,LiamK,0,1,175,Cornerstone Mask Ogerpon ex
84743031,Abhyuday,1,0,175,Dudunsparce
84743036,matsurih,0,0,145,Dudunsparce
84743036,bono,1,1,145,Mega Kangaskhan ex
84743037,koga_poke,0,1,151,Yveltal
84743037,aaa,1,0,151,Fezandipiti ex
84743038,Bozo Boys,0,0,176,Alakazam
84743038,youtube.com/@BigBugginnings,1,1,176,Dragapult ex
84743039,junlee789,0,1,132,Mega Kangaskhan ex
84743039,Banjo,1,0,132,Mega Starmie ex
84743042,Majkel1337,0,1,183,Bloodmoon Ursaluna
84743042,豆本豆豆包,1,0,183,Alakazam
84743044,Dũng Đỗ,0,0,157,Mega Kangaskhan ex
84743044,junlee789,1,1,157,Mega Kangaskhan ex
84743046,Majkel1337,0,1,89,Bloodmoon Ursaluna
84743046,bono,1,0,89,Mega Kangaskhan ex
84743048,Yushin Ito,0,1,254,Marnie's Grimmsnarl ex
84743048,kazuki0123,1,0,254,Marnie's Grimmsnarl ex
84743052,btk15049,0,1,208,Cornerstone Mask Ogerpon ex
84743052,ShumpeiNomura,1,0,208,Archaludon ex
84743054,kashiwashira,0,0,107,Team Rocket's Mewtwo ex
84743054,WinDecks,1,1,107,Mega Starmie ex
84743055,ごんさくよねきち,0,1,184,Marnie's Grimmsnarl ex
84743055,tonakaiiii,1,0,184,Marnie's Grimmsnarl ex
84743057,Yushin Ito,0,1,140,Mega Starmie ex
84743057,Akira-Ninth,1,0,140,Mega Lucario ex
84743063,jiatu.l,0,0,187,Marnie's Grimmsnarl ex
84743063,THIRD PTCG Club,1,1,187,Fezandipiti ex
84743065,Akira-Ninth,0,0,98,Mega Lucario ex
84743065,5.5,1,1,98,Alakazam
84743068,matsurih,0,1,69,Dudunsparce
84743068,LiamK,1,0,69,Teal Mask Ogerpon ex
84743075,Rmy,0,1,76,Dudunsparce
84743075,LiamK,1,0,76,Teal Mask Ogerpon ex
84743078,Star-mine,0,1,114,Chandelure
84743078,nasuo445,1,0,114,Cynthia's Garchomp ex
84743095,hoshippi,0,0,125,Marnie's Grimmsnarl ex
84743095,zoroark190,1,1,125,Mega Kangaskhan ex
84743545,aaa,0,1,178,Fezandipiti ex
84743545,Majkel1337,1,0,178,Dudunsparce
84743548,Yushin Ito,0,1,48,Mega Starmie ex
84743548,LiamK,1,0,48,Cornerstone Mask Ogerpon ex
84743550,matsurih,0,1,125,Dudunsparce
84743550,jiatu.l,1,0,125,Marnie's Grimmsnarl ex
84743551,junlee789,0,0,141,Mega Kangaskhan ex
84743551,Majkel1337,1,1,141,Bloodmoon Ursaluna
84743552,junlee789,0,0,176,Mega Kangaskhan ex
84743552,youtube.com/@BigBugginnings,1,1,176,Dragapult ex
84743554,matsurih,0,1,198,Dudunsparce
84743554,aaa,1,0,198,Fezandipiti ex
84743556,Bozo Boys,0,0,164,Alakazam
84743556,Yushin Ito,1,1,164,Marnie's Grimmsnarl ex
84743557,koga_poke,0,1,139,Yveltal
84743557,youtube.com/@BigBugginnings,1,0,139,Dragapult ex
84743563,Rmy,0,0,150,Dudunsparce
84743563,ShumpeiNomura,1,1,150,Archaludon ex
84743565,zoroark190,0,0,69,Mega Kangaskhan ex
84743565,trickstar,1,1,69,Fezandipiti ex
84743572,Bozo Boys,0,1,178,Alakazam
84743572,bono,1,0,178,Fezandipiti ex
84743573,btk15049,0,1,188,Cornerstone Mask Ogerpon ex
84743573,Rmy,1,0,188,Dudunsparce
84743574,nasuo445,0,1,153,Cynthia's Garchomp ex
84743574,やる気元気ミワハルキ,1,0,153,Mega Lucario ex
84743577,Yushin Ito,0,1,92,Mega Starmie ex
84743577,wally0593,1,0,92,Dudunsparce
84743578,koga_poke,0,0,216,Yveltal
84743578,tonakaiiii,1,1,216,Marnie's Grimmsnarl ex
84743579,kazuki0123,0,0,158,Marnie's Grimmsnarl ex
84743579,Bozo Boys,1,1,158,Alakazam
84743589,youtube.com/@BigBugginnings,0,1,175,Dragapult ex
84743589,ShumpeiNomura,1,0,175,Archaludon ex
84743593,koga_poke,0,0,119,Yveltal
84743593,LiamK,1,1,119,Teal Mask Ogerpon ex
84743715,Kohenyan,0,1,199,Alakazam
84743715,aaa,1,0,199,Fezandipiti ex
84744050,やる気元気ミワハルキ,0,0,162,Mega Lucario ex
84744050,LiamK,1,1,162,Cornerstone Mask Ogerpon ex
84744054,XP3RiX,0,0,34,Dudunsparce
84744054,Majkel1337,1,1,34,Bloodmoon Ursaluna
